,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,province_id,variety_numerical,vintage,lat,lon,total_fires,sum_fire_size,total_fires_current,sum_fire_size_current,norm_vintage,norm_variety_numerical,norm_price,norm_points,norm_total_fires,norm_sum_fire_size,norm_total_fires_current,norm_sum_fire_size_current,mean_temp,mean_rain,norm_temp,norm_rain
544,544,US,"This 90% Syrah and 10% Grenache blend, named as an ode to the winemaker's butcher-ancestors, begins with scents of blueberry crème brûlée with a spearmint glaze. The flavors are comparably light, with tarter blueberry, some licorice on the midpalate and a tannic finish.",The Porterhouse,89,30,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Comartin 2011 The Porterhouse Syrah-Grenache (Central Coast),Syrah-Grenache,Comartin,7,566,2011,38.4898675,-122.3218414,0,0,202,1756.38,0.009920635,0.806267806,0.012419275,0.090909091,0,0,0.450892857,0.006876697,57.04292542,23.08496435,0.176769645,0.192199666
546,546,US,"Reduced in a weight of oak and tight tannins, this wine takes time to come around and develop any juiciness to the palate, offering a mix of red cherry and cranberry laced in forest and spice. It finishes quick and lean.",Three Sons Cuvee,84,45,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Halleck 2013 Three Sons Cuvee Pinot Noir (Russian River Valley),Pinot Noir,Halleck,7,440,2013,38.7076812,-122.0480266,122,1339.78,247,1453.08,0.010912698,0.626780627,0.01987084,0.04040404,0.272321429,0.005245597,0.551339286,0.005689197,61.33888746,5.535779392,0.244188036,0.002119269
547,547,US,"Baked bread and brown sugar make this a comforting wine in some sense. Similarly, the fruit follows a baked quality that makes it taste bigger than it is. Meanwhile, herbal leanings betray the wine's low level of alcohol.",Otton Vineyards,84,64,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Ramspur 2012 Otton Vineyards Pinot Noir (Carneros),Pinot Noir,Ramspur,7,440,2012,38.792,-122.570971,146,306.92,161,60398.06,0.010416667,0.626780627,0.029309488,0.04040404,0.325892857,0.001201674,0.359375,0.236474552,61.45320053,22.54759001,0.245982001,0.186379206
548,548,US,"Given time to ferment and age in a majority of neutral oak, this wine still offers thickness and viscosity. It's rich and lush in tropical pineapple, mango and sliced peach, buoyed by acidity and a focused approach.",Vintner Select,87,50,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Pride Mountain 2013 Vintner Select Chardonnay (Sonoma County),Chardonnay,Pride Mountain,7,125,2013,38.2218938,-121.9163555,122,1339.78,247,1453.08,0.010912698,0.178062678,0.022354694,0.070707071,0.272321429,0.005245597,0.551339286,0.005689197,61.33888746,5.535779392,0.244188036,0.002119269
550,550,US,"A light, refreshing version of the variety from the heart of the Russian River, this traffics in medium-bodied peach and lime, ending with a sweetness of acidity.",Winemaker's Release,87,25,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Sonoma-Cutrer 2014 Winemaker's Release Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,Sonoma-Cutrer,7,514,2014,38.7076812,-122.0480266,247,1453.08,136,651.07,0.01140873,0.732193732,0.00993542,0.070707071,0.551339286,0.005689197,0.303571429,0.002549113,63.7209222,19.5758996,0.281570338,0.154191951
551,551,US,"One of the more reliable, affordably priced Rhône blends in the state, this mix of 43% Grenache, 34% Syrah, 15% Mourvèdre and 8% Counoise offers slightly shy aromas of black and red licorice, red currant and cinnamon candy, tucked behind a layer of slate. The palate is more simplistic, with purple fruits most prevalent.",Cuvee Le Bac,87,25,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Beckmen 2012 Cuvee Le Bac Red (Santa Ynez Valley),Rhône-style Red Blend,Beckmen,7,475,2012,35.2827525,-120.6596156,130,9429.82,111,338.27,0.010416667,0.676638177,0.00993542,0.070707071,0.290178571,0.036920266,0.247767857,0.001324417,58.28696848,27.13999537,0.196292951,0.236120903
552,552,US,"Extremely dense blackberry, black peppercorns, asphalt, grape candy and violets show on the nose of this wine from a vineyard on a hillside north of the Santa Maria Valley. The palate packs in-your-face tannins and density, with flavors of black cherry, blueberry and blackberry. Give it time, then serve with the heartiest fare.",Colson Canyon Vineyard,89,40,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Epiphany 2012 Colson Canyon Vineyard Syrah (Santa Barbara County),Syrah,Epiphany,7,560,2012,36.6974604,-121.405214,192,639.14,171,324.67,0.010416667,0.797720798,0.017386985,0.090909091,0.428571429,0.002502404,0.381696429,0.00127117,58.28696848,27.13999537,0.196292951,0.236120903
553,553,US,"Condensed blackberries, cassis and a kirsch-like heat hit the nose on this blend of 45% Cabernet Sauvignon, 45% Syrah and 10% Petite Sirah. More blackberry fruits meet with smoked beef and concentrated violets on the palate.",Kindred,89,32,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Seven Angels 2012 Kindred Red (Paso Robles),Red Blend,Seven Angels,7,473,2012,37.050096,-121.9905908,192,639.14,171,324.67,0.010416667,0.673789174,0.013412817,0.090909091,0.428571429,0.002502404,0.381696429,0.00127117,58.28696848,27.13999537,0.196292951,0.236120903
555,555,US,"Meaty, spicy accents enliven this full-bodied and ripe-tasting wine, adding a layer of interest and depth. The aromas and flavors show blackberries and black pepper, while the texture is smooth and a sense of richness on the lingering the finish.",Skyland Ridge,89,10,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Montevina 2013 Skyland Ridge Zinfandel (Amador County),Zinfandel,Montevina,7,702,2013,36.6248089,-121.1177379,64,260.4,67,524.44,0.010912698,1,0.002483855,0.090909091,0.142857143,0.001019536,0.149553571,0.002053323,50.06185911,13.0004568,0.067212751,0.082971391
556,556,US,"Tropical vanilla and pineapple notes provide this full-bodied wine with voluptuous fruit and texture. That ripeness finds its equilibrium on the midpalate, settling down into lemon peel and quince highlights that finish bright.",Las Amigas Partners Vineyard,90,45,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Sleeping Giant 2014 Las Amigas Partners Vineyard Chardonnay (Carneros),Chardonnay,Sleeping Giant,7,125,2014,38.792,-122.570971,259,4961.87,146,4524.43,0.01140873,0.178062678,0.01987084,0.101010101,0.578125,0.019427048,0.325892857,0.017714353,63.7209222,19.5758996,0.281570338,0.154191951
